OSVersion_Win7SP1x86,OSVersion_Win10Homex64,Process_Name,PID,PPID,Hidden_Process,Threads,Handles,DLLs,Session_ID,Wow64,Start_Time,Exit_Time,Injected_Code,APIhooks_ImportAddressTable(IAT),APIhooks_Inline/Trampoline,APIhooks_NTSyscall,Network_Connection,Network_Protocol_TCP,Network_Protocol_UDP,SeCreateTokenPrivilege,SeAssignPrimaryTokenPrivilege,SeLockMemoryPrivilege,SeIncreaseQuotaPrivilege,SeMachineAccountPrivilege,SeTcbPrivilege,SeSecurityPrivilege,SeTakeOwnershipPrivilege,SeLoadDriverPrivilege,SeSystemProfilePrivilege,SeSystemtimePrivilege,SeProfileSingleProcessPrivilege,SeIncreaseBasePriorityPrivilege,SeCreatePagefilePrivilege,SeCreatePermanentPrivilege,SeBackupPrivilege,SeRestorePrivilege,SeShutdownPrivilege,SeDebugPrivilege,SeAuditPrivilege,SeSystemEnvironmentPrivilege,SeChangeNotifyPrivilege,SeRemoteShutdownPrivilege,SeUndockPrivilege,SeSyncAgentPrivilege,SeEnableDelegationPrivilege,SeManageVolumePrivilege,SeImpersonatePrivilege,SeCreateGlobalPrivilege,SeTrustedCredManAccessPrivilege,SeRelabelPrivilege,SeIncreaseWorkingSetPrivilege,SeTimeZonePrivilege,SeCreateSymbolicLinkPrivilege,SeDelegateSessionUserImpersonatePrivilege,Label
1,0,SearchIndexer.,2024,412,0,14,731,59,0,0,4/29/2024 11:26,-,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,Benign
1,0,taskhost.exe,904,412,0,7,177,49,1,0,4/29/2024 11:26,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,dwm.exe,1564,924,0,3,74,28,1,0,4/29/2024 11:26,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,explorer.exe,1372,1512,0,21,896,176,1,0,4/29/2024 11:26,-,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,regsvr32.exe,2352,1372,0,0,0,0,1,0,4/29/2024 11:26,4/29/2024 11:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,svchost.exe,2104,412,0,13,205,45,0,0,4/29/2024 11:28,-,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Malicious
1,0,svchost.exe,2184,412,0,9,317,53,0,0,4/29/2024 11:28,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,Malicious
1,0,GoogleCrashHan,3984,3416,0,5,87,27,0,0,4/29/2024 11:31,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,Benign
1,0,chrome.exe,1028,1372,0,32,1257,122,1,0,4/29/2024 11:57,-,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,chrome.exe,2472,1028,0,8,110,21,1,0,4/29/2024 11:57,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,chrome.exe,3396,1028,0,14,245,55,1,0,4/29/2024 11:57,-,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,chrome.exe,2740,1028,0,6,129,43,1,0,4/29/2024 11:57,-,0,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,3592,1028,0,13,210,66,1,0,4/29/2024 11:57,-,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,712,1028,0,22,529,44,1,0,4/29/2024 11:57,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,3704,1028,0,19,261,44,1,0,4/29/2024 11:58,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,1892,1028,0,9,173,51,1,0,4/29/2024 11:58,-,0,5,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,600,1028,0,22,428,44,1,0,4/29/2024 12:00,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,2588,1028,0,19,317,44,1,0,4/29/2024 12:01,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,3380,1028,0,14,204,44,1,0,4/29/2024 12:02,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,2060,1028,0,22,436,44,1,0,4/29/2024 12:02,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,MGL.exe,2540,2496,0,31,622,116,1,0,4/29/2024 12:05,-,1,13,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Malicious
1,0,chrome.exe,336,1028,0,11,158,44,1,0,4/29/2024 12:05,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,MGL.exe,3336,2540,0,6,148,74,1,0,4/29/2024 12:07,-,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Malicious
1,0,MGL.exe,1476,2540,0,13,227,81,1,0,4/29/2024 12:07,-,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Malicious
1,0,MGL.exe,1132,2540,0,14,202,91,1,0,4/29/2024 12:07,-,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Malicious
1,0,winlogon.exe,416,356,1,0,0,0,-,0,4/29/2024 23:23,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,services.exe,464,364,1,0,0,0,-,0,4/29/2024 23:23,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,lsm.exe,484,364,1,0,0,0,-,0,4/29/2024 23:23,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,svchost.exe,668,464,1,0,0,0,-,0,4/29/2024 23:23,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,svchost.exe,864,464,1,0,0,0,-,0,4/29/2024 23:23,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,csrss.exe,376,356,1,0,0,0,-,0,4/29/2024 23:23,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,csrss.exe,332,324,1,0,0,0,-,0,4/29/2024 23:23,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,MGL.exe,2504,2540,0,0,0,0,-,0,4/29/2024 12:07,4/29/2024 12:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malicious
1,0,System,4,0,0,84,499,0,-,0,2024-05-06 17:00:15 UTC+0000,-,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,Benign
1,0,smss.exe,248,4,0,2,32,0,-,0,2024-05-06 17:00:15 UTC+0000,-,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,Benign
1,0,csrss.exe,324,308,0,9,355,16,0,0,2024-05-06 17:00:17 UTC+0000,-,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,Benign
1,0,wininit.exe,372,308,0,3,81,0,0,0,2024-05-06 17:00:17 UTC+0000,-,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,Benign
1,0,csrss.exe,380,364,0,9,502,16,1,0,2024-05-06 17:00:17 UTC+0000,-,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,Benign
1,0,winlogon.exe,420,364,0,3,116,31,1,0,2024-05-06 17:00:17 UTC+0000,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,Benign
1,0,services.exe,468,372,0,10,199,33,0,0,2024-05-06 17:00:18 UTC+0000,-,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,Benign
1,0,lsass.exe,476,372,0,8,573,63,0,0,2024-05-06 17:00:18 UTC+0000,-,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,Benign
1,0,lsm.exe,484,372,0,11,151,16,0,0,2024-05-06 17:00:18 UTC+0000,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,Benign
1,0,svchost.exe,580,468,0,11,363,52,0,0,2024-05-06 17:00:18 UTC+0000,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,Benign
1,0,svchost.exe,660,468,0,9,248,34,0,0,2024-05-06 17:00:19 UTC+0000,-,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Benign
1,0,svchost.exe,756,468,0,19,472,71,0,0,2024-05-06 17:00:19 UTC+0000,-,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,Benign
1,0,svchost.exe,792,468,0,18,454,90,0,0,2024-05-06 17:00:19 UTC+0000,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,Benign
1,0,svchost.exe,828,468,0,36,1154,146,0,0,2024-05-06 17:00:19 UTC+0000,-,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,Benign
1,0,svchost.exe,976,468,0,14,332,73,0,0,2024-05-06 17:00:19 UTC+0000,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Benign
1,0,svchost.exe,1068,468,0,17,485,76,0,0,2024-05-06 17:00:19 UTC+0000,-,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Benign
1,0,spoolsv.exe,1224,468,0,13,284,0,0,0,2024-05-06 17:00:19 UTC+0000,-,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,Benign
1,0,svchost.exe,1252,468,0,19,346,70,0,0,2024-05-06 17:00:19 UTC+0000,-,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Benign
1,0,taskhost.exe,1596,468,0,9,189,52,1,0,2024-05-06 17:00:20 UTC+0000,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,dwm.exe,1688,792,0,3,83,28,1,0,2024-05-06 17:00:20 UTC+0000,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,explorer.exe,1724,1668,0,29,925,178,1,0,2024-05-06 17:00:20 UTC+0000,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,SearchIndexer.,1304,468,0,14,648,62,0,0,2024-05-06 17:00:27 UTC+0000,-,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,Benign
1,0,svchost.exe,2968,468,0,13,204,45,0,0,2024-05-06 17:02:20 UTC+0000,-,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Benign
1,0,sppsvc.exe,3012,468,0,4,155,29,0,0,2024-05-06 17:02:20 UTC+0000,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Malicious
1,0,svchost.exe,3068,468,0,11,321,53,0,0,2024-05-06 17:02:21 UTC+0000,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,Benign
1,0,GoogleCrashHan,3728,3172,0,5,86,27,0,0,2024-05-07 05:06:39 UTC+0000,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,Benign
1,0,chrome.exe,3556,1724,0,37,1273,124,1,0,2024-05-07 05:09:42 UTC+0000,-,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,chrome.exe,2932,3556,0,8,101,21,1,0,2024-05-07 05:09:42 UTC+0000,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,chrome.exe,2008,3556,0,15,231,57,1,0,2024-05-07 05:09:42 UTC+0000,-,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Benign
1,0,chrome.exe,2440,3556,0,7,134,43,1,0,2024-05-07 05:09:42 UTC+0000,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,3216,3556,0,14,207,66,1,0,2024-05-07 05:09:43 UTC+0000,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,1592,3556,0,9,179,52,1,0,2024-05-07 05:11:48 UTC+0000,-,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,2360,3556,0,21,507,44,1,0,2024-05-07 05:46:40 UTC+0000,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,3672,3556,0,18,261,44,1,0,2024-05-07 05:47:00 UTC+0000,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,chrome.exe,3244,3556,0,20,462,44,1,0,2024-05-07 05:47:03 UTC+0000,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,audiodg.exe,2792,756,0,4,120,41,0,0,2024-05-07 05:47:09 UTC+0000,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,Benign
1,0,chrome.exe,2560,3556,0,14,207,44,1,0,2024-05-07 05:47:42 UTC+0000,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,taskhost.exe,2428,468,0,5,93,31,1,0,2024-05-07 05:50:14 UTC+0000,-,0,7,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,Benign
1,0,chrome.exe,2156,3556,0,25,520,44,1,0,2024-05-07 05:50:55 UTC+0000,-,0,6,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,0,MGL.exe,2292,2004,0,39,694,116,1,0,2024-05-07 05:52:25 UTC+0000,-,1,13,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Malicious
1,0,MGL.exe,2244,2292,0,6,143,74,1,0,2024-05-07 05:54:02 UTC+0000,-,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Malicious
1,0,MGL.exe,192,2292,0,14,230,81,1,0,2024-05-07 05:54:02 UTC+0000,-,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Malicious
